Afghanistan,3
Albania,6
Algeria,58
American Samoa,11
Andorra,1
Angola,8
Anguilla,5
Antarctica,9
Antigua and Barbuda,4
Argentina,10
Armenia,7
Aruba,14
Australia,13
Austria,12
Azerbaijan,15
babara,236
Bahrain,22
Bangladesh,18
Barbados,17
Belarus,34
Belgium,19
Belize,35
Benin,24
Bermuda,25
Bhutan,31
Bolivia,27
Bosnia,16
Bosnia and Herzegovina,240
Botswana,33
Bouvet Island,32
Brazil,29
British Indian Ocean Territory,100
British Virgin Islands,226
Brunei,26
Bulgaria,21
Burkina Faso,20
Burundi,23
Cambodia,111
Cameroon,44
Canada,36
Caribbean Netherlands,28
Cayman Islands,118
Central African Republic,38
Chad,206
Chile,43
China,45
Christmas Island,50
Colombia,46
Comoros,113
Cook Islands,42
Costa Rica,47
Croatia,92
Cuba,48
Curacao,49
Cyprus,51
Czech Rep.,52
Denmark,55
Djibouti,54
Dominica,56
Dominican Rep.,57
Ecuador,59
Egypt,61
El Salvador,201
Equatorial Guinea,83
Eritrea,63
Estonia,60
Ethiopia,65
Falkland Islands (Islas Malvinas),68
Faroe Islands,70
Finland,66
France,71
French Guiana,76
French Polynesia,168
Gabon,72
Georgia,75
Germany,53
Ghana,77
Gibraltar,78
Greece,84
Greenland,79
Grenada,74
Guadeloupe,82
Guam,87
Guatemala,86
Guinea,81
Guinea-Bissau,88
Guyana,89
Haiti,93
Honduras,91
Hong Kong,90
Hungary,94
Iceland,103
India,99
Indonesia,95
Iran,102
Iraq,101
Ireland,96
Isle of Man,98
Israel,97
Italy,104
Ivory Coast,41
Jamaica,106
Japan,108
Jersey,105
Jordan,107
Kazakhstan,119
Kenya,109
Kiribati,112
Kosovo,241
Kuwait,117
Kyrgyzstan,110
Laos,120
Latvia,129
Lebanon,121
Lesotho,126
Liberia,125
Libya,130
Liechtenstein,123
Lithuania,127
Luxembourg,128
Macedonia,138
Madagascar,136
Malawi,149
Malaysia,151
Maldives,148
Mali,139
Malta,146
Marshall Islands,137
Mauritania,144
Mauritius,147
Mayotte,232
Mexico,150
Micronesia,69
Moldova,133
Monaco,132
Mongolia,141
Montenegro,134
Montserrat,145
Morocco,131
Mozambique,152
Myanmar,140
Namibia,153
Nauru,162
Nepal,161
Netherlands,159
New Caledonia,154
New Zealand,164
Nicaragua,158
Niger,155
Nigeria,157
Niue,163
Norfolk Island,156
North Korea,115
Northern Mariana Islands,143
Norway,160
Oman,165
Pakistan,171
Palau,176
Panama,166
Papua New Guinea,169
Paraguay,177
Peru,167
Philippines,170
Poland,172
Portugal,175
Puerto Rico,174
Qatar,178
Republic of Macedonia,239
Reunion,179
Romania,180
Russia,182
Rwanda,183
Saint Helena,190
Saint Kitts and Nevis,114
Saint Lucia,122
Saint Martin,135
Saint Pierre and Miquelon,173
Saint Vincent and the Grenadines,224
Samoa,230
San Marino,195
Saudi Arabia,184
Senegal,196
Serbia,181
Seychelles,186
Sierra Leone,194
Singapore,189
Sint Maarten,202
Slovakia,193
Slovenia,191
Solomon Islands,185
Somalia,197
South Africa,233
South Georgia and the South Sandwich Islands,85
South Korea,116
South Sudan,199
Spain,64
Sri Lanka,124
Sudan,187
Suriname,198
Svalbard and Jan Mayen,192
Swaziland,204
Sweden,188
Switzerland,40
Syria,203
Taiwan,217
Tajikistan,209
Tanzania,218
Thailand,208
The Bahamas,30
The Democratic Republic of Congo,37
The Gambia,80
The Republic of Congo,39
Togo,207
Tokelau,210
Tonga,213
Trinidad and Tobago,215
Tunisia,212
Turkey,214
Turkmenistan,211
Turks and Caicos Islands,205
Tuvalu,216
U.S. Virgin Islands,227
Uganda,220
Ukraine,219
United Arab Emirates,238
United Kingdom,73
United States,221
Uruguay,222
Uzbekistan,223
Venezuela,225
Vietnam,228
Wallis and Futuna,229
Western Sahara,62
Yemen,231
Zambia,234
Zimbabwe,235
